ABCFLOAT|FLOAT,FLOAT,FLOAT
ENHMETAHEADER|DWORD,DWORD,RECTL,RECTL,DWORD,DWORD,DWORD,DWORD,WORD,WORD,DWORD,DWORD,DWORD,SIZEL,SIZEL,DWORD,DWORD,DWORD,SIZEL
ENHMETARECORD|DWORD,DWORD,DWORD
ENUMLOGFONTA|LOGFONTA,BYTE,BYTE
ENUMLOGFONTEXA|LOGFONTA,BYTE,BYTE,BYTE
ENUMLOGFONTEXDVA|ENUMLOGFONTEXA,DESIGNVECTOR
ENUMLOGFONTEXDVW|ENUMLOGFONTEXW,DESIGNVECTOR
ENUMLOGFONTEXW|LOGFONTW,WCHAR,WCHAR,WCHAR
ENUMLOGFONTW|LOGFONTW,WCHAR,WCHAR
ENUMTEXTMETRICA|NEWTEXTMETRICEXA,AXESLISTA
ENUMTEXTMETRICW|NEWTEXTMETRICEXW,AXESLISTW
EXTLOGFONTA|LOGFONTA,BYTE,BYTE,DWORD,DWORD,DWORD,DWORD,BYTE,DWORD,PANOSE
EXTLOGFONTW|LOGFONTW,WCHAR,WCHAR,DWORD,DWORD,DWORD,DWORD,BYTE,DWORD,PANOSE
EXTLOGPEN32|DWORD,DWORD,UINT,COLORREF,ULONG,DWORD,DWORD
EXTLOGPEN|DWORD,DWORD,UINT,COLORREF,ULONG_PTR,DWORD,DWORD
FIXED|WORD,short,short,WORD
FONTSIGNATURE|DWORD,DWORD
GCP_RESULTSA|DWORD,LPSTR,UINT *,int *,int *,LPSTR,LPWSTR,UINT,int
GCP_RESULTSW|DWORD,LPWSTR,UINT *,int *,int *,LPSTR,LPWSTR,UINT,int
GDIREGISTERDDRAWPACKET|DWORD,DWORD,DDRAWMARSHCALLBACKMARSHAL,DDRAWMARSHCALLBACKUNMARSHAL,DDRAWMARSHCALLBACKRELEASE
GLYPHMETRICSFLOAT|FLOAT,FLOAT,POINTFLOAT,FLOAT,FLOAT
GLYPHMETRICS|UINT,UINT,POINT,short,short
GLYPHSET|DWORD,DWORD,DWORD,DWORD,WCRANGE
GRADIENT_RECT|ULONG,ULONG
GRADIENT_TRIANGLE|ULONG,ULONG,ULONG
HANDLETABLE|HGDIOBJ
KERNINGPAIR|WORD,WORD,int
LAYERPLANEDESCRIPTOR|WORD,WORD,DWORD,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,COLORREF
LOCALESIGNATURE|DWORD,DWORD,DWORD
LOGBRUSH32|UINT,COLORREF,ULONG
LOGBRUSH|UINT,COLORREF,ULONG_PTR
